=== Vivaldi Antenna Sweep / 20dB incident attenuator / normal cable ===
Points: 256
freq_hz,gain_dB,phase_deg
486000000,9.2308,119.2885
488000000,9.0119,113.1539
490000000,8.7931,109.7692
492000000,8.5743,100.0385
494000000,8.3554,93.4808
496000000,8.2825,86.9231
498000000,8.0637,79.5192
500000000,7.8448,72.5385
502000000,7.6260,63.8654
504000000,6.8236,54.3462
506000000,5.6565,49.2692
508000000,5.0729,48.4231
510000000,5.0729,45.8846
512000000,5.2188,39.9615
514000000,5.2188,31.2885
516000000,4.8541,21.5577
518000000,4.0517,10.1346
520000000,2.8117,1.2500
522000000,1.6446,-4.0385
524000000,-0.1790,-1.9231
526000000,-2.3674,-0.4423
528000000,-3.0968,-2.9808
530000000,-3.0239,2.0962
532000000,-4.4098,13.3077
534000000,-5.6499,22.8269
536000000,-6.5981,36.5769
538000000,-6.6711,59.6346
540000000,-6.5252,101.7308
542000000,-1.4191,101.3077
544000000,-5.4310,171.1154
546000000,-5.0663,166.4615
548000000,-4.7016,157.3654
550000000,-4.1180,156.5192
--- sweep complete ---
