=== MODE 5: RAW SWEEP ===
Points: 551
freq_hz,gain_dB,phase_deg
50000000,-1.2062,88.2235
51000000,-1.2062,94.5529
52000000,-1.2062,101.0933
53000000,-1.1334,107.4227
54000000,-1.2062,115.0180
55000000,-1.2062,121.3474
56000000,-1.2062,128.7317
57000000,-1.2062,136.5380
58000000,-1.3517,143.9223
59000000,-1.3517,151.5176
60000000,-1.3517,159.3239
61000000,-1.2789,166.9192
62000000,-1.4244,171.7718
63000000,-1.6427,169.6620
64000000,-2.0792,161.4337
65000000,-2.9522,153.2055
66000000,-3.5343,148.5639
67000000,-3.7525,144.3443
68000000,-3.6070,136.7490
69000000,-4.2618,129.7866
70000000,-4.4073,125.9890
71000000,-4.4073,118.1827
72000000,-4.5528,113.1192
73000000,-4.6983,107.0007
74000000,-4.8438,97.5066
75000000,-6.0806,92.4431
76000000,-6.5171,95.6078
77000000,-5.6441,98.7725
78000000,-4.2618,92.2321
79000000,-3.5343,82.9489
80000000,-3.4615,73.0329
81000000,-3.4615,65.0156
82000000,-3.4615,58.4752
83000000,-3.4615,50.0360
84000000,-3.6798,43.9175
85000000,-3.7525,37.7991
86000000,-3.9708,30.2038
87000000,-4.1890,23.4524
88000000,-4.6255,16.4901
89000000,-5.3531,11.2155
90000000,-6.2261,9.3167
91000000,-5.7896,12.2704
92000000,-6.2261,3.1983
93000000,-8.1904,4.6751
94000000,-7.4629,5.3081
95000000,-7.9721,5.5191
96000000,-8.4814,6.7849
97000000,-6.4443,12.2704
98000000,-5.1348,1.5104
99000000,-5.9351,6.9959
100000000,-7.3901,12.6924
101000000,-8.8451,13.1144
102000000,-10.0092,8.6838
103000000,-7.5356,5.5191
104000000,-4.4073,3.1983
105000000,-4.6255,20.2877
106000000,-5.7168,31.6807
107000000,-7.0263,38.4320
108000000,-8.4086,40.3309
109000000,-9.4999,39.4869
110000000,-9.7182,37.3771
111000000,-9.7909,38.6430
112000000,-9.9364,43.7065
113000000,-11.5370,43.4956
114000000,-12.1190,36.3222
115000000,-11.2460,23.8744
116000000,-8.2631,28.5159
117000000,-8.7724,38.4320
118000000,-8.4814,41.8077
119000000,-8.3359,48.1371
120000000,-8.3359,54.0446
121000000,-8.3359,60.7960
122000000,-8.6996,66.9144
123000000,-8.9179,69.6572
124000000,-8.4086,73.4548
125000000,-7.5356,86.1136
126000000,-9.2817,103.6250
127000000,-11.2460,109.5325
128000000,-13.1375,112.0643
129000000,-14.8836,106.7898
130000000,-15.3928,98.1395
131000000,-15.5383,94.5529
132000000,-15.1746,90.9662
133000000,-14.8836,92.4431
134000000,-14.5198,97.0846
135000000,-14.2288,104.4690
136000000,-14.5925,112.4862
137000000,-15.6111,115.2290
138000000,-16.3386,118.1827
139000000,-16.8479,116.9168
140000000,-17.4299,114.1741
141000000,-17.2844,114.5960
142000000,-17.7936,115.2290
143000000,-18.0846,113.1192
144000000,-18.5212,104.2580
145000000,-18.6667,89.0674
146000000,-19.0304,76.1976
147000000,-18.0119,71.9779
148000000,-18.8122,76.1976
149000000,-18.5212,77.8854
150000000,-18.3756,75.1427
151000000,-18.0119,63.5387
152000000,-18.0846,56.7873
153000000,-17.7936,58.6862
154000000,-17.2116,63.5387
155000000,-17.7209,67.1254
156000000,-17.6481,68.1803
157000000,-17.5754,70.9230
158000000,-17.5026,78.0964
159000000,-18.0846,89.4893
160000000,-18.8122,85.0587
161000000,-18.5212,74.9317
162000000,-18.3029,66.2815
163000000,-17.6481,62.2728
164000000,-17.4299,61.6399
165000000,-17.0661,65.2266
166000000,-16.9206,68.6023
167000000,-16.9206,74.5097
168000000,-16.9934,79.7842
169000000,-17.0661,78.9403
170000000,-16.9206,75.7756
171000000,-16.4113,77.2525
172000000,-16.5569,79.9952
173000000,-16.1931,82.7380
174000000,-15.6838,86.9576
175000000,-15.4656,93.4980
176000000,-15.1746,101.9372
177000000,-15.0291,111.4313
178000000,-15.4656,119.2376
179000000,-16.0476,124.3011
180000000,-16.3386,123.8792
181000000,-16.5569,128.0988
182000000,-16.9934,127.8878
183000000,-18.4484,117.1278
184000000,-19.0304,88.4344
185000000,-18.4484,69.0242
186000000,-17.1389,78.5183
187000000,-16.4113,86.5356
188000000,-14.9563,92.0211
189000000,-13.8650,106.3678
190000000,-13.2830,119.6595
